0,"Asbin bhhatrai",uniquekiran90@gmail.com,98604909629,male,1997-09-027,Nepal,"Bachelor Level"
1,"Sabin Khadak",uniquekiran90@gmail.com,98604909629,male,1997-09-027,Nepal,"Bachelor Level"
2,"Ashish Pokhrel",aashishpokhrel146@gmail.com,9860409629,male,1997-09-027,Nepal,"Bachelor Level"
3,"Subash Thapa",SubashThapa901@gmail.com,98604909629,male,1997-09-027,Nepal,"Bachelor Level"
4,"Kiran Sapkota",uniquekiran90@gmail.com,98604909629,male,1997-09-027,Nepal,"Bachelor Level"
5,"Arjun Thapa",uniquekiran90@gmail.com,98604909629,male,1997-09-027,Nepal,"Bachelor Level"
6,"Ashism Rijal",uniquekiran90@gmail.com,98604909629,male,1997-09-027,Nepal,"Bachelor Level"
7,"Sabin Khadak",uniquekiran90@gmail.com,98604909629,male,1997-09-027,Nepal,"Bachelor Level"
8,"Asbin bhhatrai",uniquekiran90@gmail.com,98604909629,male,1997-09-027,Nepal,"Bachelor Level"
9,"Om Ghimere",uniquekiran90@gmail.com,98604909629,male,1997-09-027,Nepal,"Bachelor Level"
10,"Asbin bhhatrai",uniquekiran90@gmail.com,98604909629,male,1997-09-027,Nepal,"Bachelor Level"
11,"Sabin Khadak",uniquekiran90@gmail.com,98604909629,male,1997-09-027,Nepal,"Bachelor Level"
12,"Ashish Pokhrel",aashishpokhrel146@gmail.com,9860409629,male,1997-09-027,Nepal,"Bachelor Level"
13,"Subash Thapa",SubashThapa901@gmail.com,98604909629,male,1997-09-027,Nepal,"Bachelor Level"
14,"Kiran Sapkota",uniquekiran90@gmail.com,98604909629,male,1997-09-027,Nepal,"Bachelor Level"
15,"Arjun Thapa",uniquekiran90@gmail.com,98604909629,male,1997-09-027,Nepal,"Bachelor Level"
16,"Ashism Rijal",uniquekiran90@gmail.com,98604909629,male,1997-09-027,Nepal,"Bachelor Level"
17,"Sabin Khadak",uniquekiran90@gmail.com,98604909629,male,1997-09-027,Nepal,"Bachelor Level"
18,"Asbin bhhatrai",uniquekiran90@gmail.com,98604909629,male,1997-09-027,Nepal,"Bachelor Level"
19,"Om Ghimere",uniquekiran90@gmail.com,98604909629,male,1997-09-027,Nepal,"Bachelor Level"
